,Others,Feed
business_focused,[name] has a good intuition for what a customer wants and needs,
business_focused,[name] is keen to make more money,
people_focused,[name] cares for people around and is recognised for it,
people_focused,[name] is keen to find out what matters to people,
trustful,People would lend [name]'s house without worrying,
authenticity,[name] is always saying own feeling in a tactful way,
creative,[name] is the type generates 100 ideas in a minute,
conceptual_thinking,[name] sees easily how things can work together,
manage_conflict,[name] often succeeds to get people talking to each other even if they don’t like to do so,
negotiation,[name] enjoys bargaining on a market,
negotiation,[name] is always looking for the better deals when buying something,
self_learning,"[name] is always busy reading, practicing something new",
initiative,[name] is not afraid of starting up something by his own,
stress_tolerance,[name] knows what triggers [name] stresses,
stress_tolerance,Being late of being shout at do not change [name]'s mood that much,
persistence,"When playing a game, [name] would not give up till [name] wins",
persistence,"When committed, [name] would not stop for convenience ",
positive,"[name] sees the glass half full, almost never half empty",
accept_critics,When [name] is criticized [name] listens and says thank you,
facilitation,[name] brings people together and let them talk each others,
facilitation,In a team [name] easily makes sure that everyone is informed and that everything is organised,
facilitation,In a meeting [name] would make sure that everything runs smoothly,
strategic,[name] can quickly come up with multiple options to decide the best decision to take,
delegation,[name] knows how to be less busy by letting others do job for [name],
delegation,[name] loves it when others do what needs to be done without [name] in talking,
coaching,[name] likes to help children play football,
coaching,[name] tends to ask questions more than making statements,
coaching,[name] loves to see other people’s success,
empathy,[name] easily notices other people’s feeling,
empathy,[name] shows true interest in others very easily by asking questions ,
listening,[name] makes you feel heard,
presentation,"[name] likes to be on stage, gets the audience informed and entertained",
written_communication,"If you need to write an important letter, you ask [name] to get a proof read before sending it out",
sociability,[name] easily talks to strangers,
efficient,[name] gets things done without wasting time or energy,
empathy,"Hearing about the pain of friends, [name] feels with them",
persistence,[name] is able to endure in hard times,
creative,[name] always comes up with new way of handling issues,
trustful,[name] always stands by own words and promises,
assertive,[name] has no problem with saying what he wants at any situations,
creative,Often [name] surprises me with totally unexpected ideas,
initiative,[name] likes to initiates a weekend plan for friends,
listening,[name] asks good questions not only interested in saying own ideas,
accept_critics,When [name] made a mistake [name] is able to accept it and apologise ,
postive ,[name] is a person remains calm and unaffected even tough [name] is trapped in a traffic for one hour,
accept_critics,[name] is not too stubborn to change after being criticized,
trustful,"If [name] promises of calling or emailing you, [name] definetly will ",
respectful,[name] gives other people credit ,
integrity,"When [name] keeps you waiting, [name] aplogises",
integrity,[name] does not pretend to like things to impress people ,
people_focused,[name] takes a real interest in your life ,
creative,[name] sees beauty in little things,
creative,[name] uses own intuition to make good decision,
conceptual_thinking,[name] is good at seeing the big picture,
manage_conflict,"When a team is divided, [name] will help bridge the two sides",